"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"38",2018,"Clyde","19/11/2018","08:55",55.72883,-4.97333,"19/11/2018","09:25",55.76367,-4.96617,0.0195,0,0,0,0.0195,0,0,0
"39",2018,"Clyde","19/11/2018","09:57",55.8265,-4.99183,"19/11/2018","10:25",55.85417,-5.0345,0.0104,0.0104,0,0,0,0,0,0
"40",2018,"Clyde","19/10/2018","09:03",55.97017,-4.75333,"19/10/2018","09:35",55.97033,-4.8105,0.1998,0.0118,0.047,0,0.0588,0.047,0,0.0353
"41",2018,"Clyde","19/10/2018","09:45",55.97067,-4.8145,"19/10/2018","10:18",55.97083,-4.87233,0.2693,0,0.1212,0,0.0942,0.0404,0,0.0135
"42",2018,"Clyde","19/10/2018","10:40",55.97117,-4.88167,"19/10/2018","11:12",55.9735,-4.81617,0.803,0.0149,0.4907,0,0.2082,0.0892,0,0
"43",2018,"Clyde","19/10/2018","11:25",55.97433,-4.77683,"19/10/2018","11:55",55.97167,-4.751,0.2515,0.0148,0.0888,0.0148,0.1035,0.0296,0,0
"44",2018,"Clyde","19/10/2018","13:04",55.90083,-4.92567,"19/10/2018","13:37",55.86867,-4.94467,0.0239,0,0.012,0,0,0.012,0,0
"45",2018,"Clyde","19/10/2018","15:57",55.90933,-4.90117,"19/10/2018","16:33",55.941,-4.886,0.1091,0,0.0312,0,0.0312,0.0312,0,0.0156
"46",2018,"Clyde","19/10/2018","16:39",55.9435,-4.88317,"19/10/2018","17:13",55.98117,-4.874,0.1724,0.0144,0.0862,0,0.0431,0.0287,0,0
"47",2018,"Clyde","19/10/2018","17:34",56.01917,-4.89,"19/10/2018","18:08",55.98917,-4.88717,0.1182,0.0169,0.0338,0,0.0338,0.0338,0,0
"48",2018,"Clyde","19/10/2018","18:18",55.98583,-4.8885,"19/10/2018","18:50",55.9585,-4.89567,0.1255,0.0314,0,0,0,0.0628,0,0.0314
"49",2018,"Clyde","20/10/2018","08:26",55.97983,-4.8755,"20/10/2018","09:02",56.01433,-4.88283,0.1296,0.013,0.0518,0,0.0389,0.0259,0,0
"50",2018,"Clyde","20/10/2018","09:11",56.01533,-4.88217,"20/10/2018","09:44",56.0425,-4.897,0.1194,0,0,0,0.0717,0.0478,0,0
"51",2018,"Clyde","20/10/2018","09:53",56.04333,-4.89417,"20/10/2018","10:23",56.01767,-4.8765,0.1051,0.03,0,0,0.075,0,0,0
